Topics,Module,Replication,No. Vars,Variables
,"Sponsors and Costs, School","1987, 1995, 1997, 2002, 2005, 2007, 2011, Mig 2013",7,"`kd_publ <https://paneldata.org/soep-long/data/kidl/kd_publ>`_,  `kd_indep <https://paneldata.org/soep-long/data/kidl/kd_indep>`_,  `kd_priv <https://paneldata.org/soep-long/data/kidl/kd_priv>`_,  `kd_comp <https://paneldata.org/soep-long/data/kidl/kd_comp>`_,  `kd_comm <https://paneldata.org/soep-long/data/kidl/kd_comm>`_,  `ks_amtp <https://paneldata.org/soep-long/data/kidl/ks_amtp>`_,  `ks_cost <https://paneldata.org/soep-long/data/kidl/ks_cost>`_"
,"Lunch, Childcare","1997, 2002, 2005, 2007, 2011, 2013, 2015",1,`kd_lunch <https://paneldata.org/soep-long/data/kidl/kd_lunch>`_
,"Sponsors and Costs, Childcare","2011, 2013, 2015",7,"`kd_publ <https://paneldata.org/soep-long/data/kidl/kd_publ>`_,  `kd_indep <https://paneldata.org/soep-long/data/kidl/kd_indep>`_,  `kd_priv <https://paneldata.org/soep-long/data/kidl/kd_priv>`_,  `kd_comp <https://paneldata.org/soep-long/data/kidl/kd_comp>`_,  `kd_comm <https://paneldata.org/soep-long/data/kidl/kd_comm>`_,  `kc_amtp <https://paneldata.org/soep-long/data/kidl/kc_amtp>`_,  `kc_cost <https://paneldata.org/soep-long/data/kidl/kc_cost>`_"
,Rely on care times,2002,1,`kd_rely <https://paneldata.org/soep-core/data/kidlong/kd_rely>`_
,"Leisure Activities and Costs, Children","2006, 2008, 2010, 2012, 2014, 2016",19,"`ka06_spo <https://paneldata.org/soep-long/data/kidl/ka06_spo>`_,  `ka06_mus <https://paneldata.org/soep-long/data/kidl/ka06_mus>`_,  `ka06_art <https://paneldata.org/soep-long/data/kidl/ka06_art>`_,  `ka06_oth <https://paneldata.org/soep-long/data/kidl/ka06_oth>`_,  `ka06_non <https://paneldata.org/soep-long/data/kidl/ka06_non>`_,  `ka16_ssp <https://paneldata.org/soep-long/data/kidl/ka16_ssp>`_,  `ka16_smu <https://paneldata.org/soep-long/data/kidl/ka16_smu>`_,  `ka16_sar <https://paneldata.org/soep-long/data/kidl/ka16_sar>`_,  `ka16_sth <https://paneldata.org/soep-long/data/kidl/ka16_sth>`_,  `ka16_sot <https://paneldata.org/soep-long/data/kidl/ka16_sot>`_,  `ka16_spo <https://paneldata.org/soep-long/data/kidl/ka16_spo>`_,  `ka16_mus <https://paneldata.org/soep-long/data/kidl/ka16_mus>`_,  `ka16_art <https://paneldata.org/soep-long/data/kidl/ka16_art>`_,  `ka16_org <https://paneldata.org/soep-long/data/kidl/ka16_org>`_,  `ka16_yth <https://paneldata.org/soep-long/data/kidl/ka16_yth>`_,  `ka16_ctr <https://paneldata.org/soep-long/data/kidl/ka16_ctr>`_,  `ka16_non <https://paneldata.org/soep-long/data/kidl/ka16_non>`_,  `kk_amtp <https://paneldata.org/soep-long/data/kidl/kk_amtp>`_,  `kk_cost <https://paneldata.org/soep-long/data/kidl/kk_cost>`_"
,Independent Income of The Children,2016,,
,Price Comparison Apartment for Rent,1984-2014,1,`hlf0094 <https://paneldata.org/soep-long/data/hl/hlf0094>`_
**Health and Care**,,,,
,Satisfaction With Availability Of Care,2002,1,`hlf0318 <https://paneldata.org/soep-long/data/hl/hlf0318>`_
"**Income, Taxes and Social Security**",,,,
,Saving,"2010,2016",7,`hlc0024 <https://paneldata.org/soep-long/data/hl/hlc0024>`_-`hlc0030 <https://paneldata.org/soep-long/data/hl/hlc0030>`_
,Expenditures on Food,"1998, 2000, 2001, 2003, 2005, 2007, 2009, 2011, 2016",2,`hlf0435 <https://paneldata.org/soep-long/data/hl/hlf0435>`_-`hlf0436 <https://paneldata.org/soep-long/data/hl/hlf0436>`_
,Alimony,2010,4,"`hlc0091 <https://paneldata.org/soep-long/data/hl/hlc0091>`_-`hlc0092 <https://paneldata.org/soep-long/data/hl/hlc0092>`_,  `hld0004 <https://paneldata.org/soep-long/data/hl/hld0004>`_-`hld0005 <https://paneldata.org/soep-long/data/hl/hld0005>`_"
,Consumption Module,2010,122,"`hlf0163 <https://paneldata.org/soep-long/data/hl/hlf0163>`_-`hlf0172 <https://paneldata.org/soep-long/data/hl/hlf0172>`_,  `hlf0209 <https://paneldata.org/soep-long/data/hl/hlf0209>`_-`hlf0252 <https://paneldata.org/soep-long/data/hl/hlf0252>`_,  `hlf0159 <https://paneldata.org/soep-long/data/hl/hlf0159>`_,  `hlc0166 <https://paneldata.org/soep-long/data/hl/hlc0166>`_-`hlc0168 <https://paneldata.org/soep-long/data/hl/hlc0168>`_,  `hlf0371 <https://paneldata.org/soep-long/data/hl/hlf0371>`_-`hlf0434 <https://paneldata.org/soep-long/data/hl/hlf0434>`_"
,Good/Low Income,"1992, 1997, 2007",4,`hcc0005 <https://paneldata.org/soep-long/data/hl/hcc0005>`_-`hcc0010 <https://paneldata.org/soep-long/data/hl/hcc0010>`_
**Time Use and Environmental Behaviour**,,,,
,Traffic and Energy,"1998, 2003, 2015",124,"`hlf0540 <https://paneldata.org/soep-long/data/hl/hlf0540>`_-`hlf0591 <https://paneldata.org/soep-long/data/hl/hlf0591>`_,  `hli0005 <https://paneldata.org/soep-long/data/hl/hli0005>`_,  `hli0077 <https://paneldata.org/soep-long/data/hl/hli0077>`_-`hld0142 <https://paneldata.org/soep-long/data/hl/hli0142>`_"
