Topics,Module,No. Vars,Variables
,Additional questions for retirees/pensioners,20,"`plc0223 <https://paneldata.org/soep-long/data/pl/plc0223>`_ ,  `plc0236 <https://paneldata.org/soep-long/data/pl/plc0236>`_ ,  `plc0238 <https://paneldata.org/soep-long/data/pl/plc0238>`_ ,  `plc0240 <https://paneldata.org/soep-long/data/pl/plc0240>`_ , `plc0242 <https://paneldata.org/soep-long/data/pl/plc0242>`_ , `plc0243 <https://paneldata.org/soep-long/data/pl/plc0243>`_ , `plc0245 <https://paneldata.org/soep-long/data/pl/plc0245>`_ , `plc0247 <https://paneldata.org/soep-long/data/pl/plc0247>`_ , `plc0249 <https://paneldata.org/soep-long/data/pl/plc0249>`_ , `plc0251 <https://paneldata.org/soep-long/data/pl/plc0251>`_ , `plc0278 <https://paneldata.org/soep-long/data/pl/plc0278>`_ , `plc0279 <https://paneldata.org/soep-long/data/pl/plc0279>`_ , `plc0281 <https://paneldata.org/soep-long/data/pl/plc0281>`_ , `plc0283 <https://paneldata.org/soep-long/data/pl/plc0283>`_ , `plc0285 <https://paneldata.org/soep-long/data/pl/plc0285>`_ ,  `plc0286 <https://paneldata.org/soep-long/data/pl/plc0286>`_ , `plc0288 <https://paneldata.org/soep-long/data/pl/plc0288>`_ ,  `plc0290 <https://paneldata.org/soep-long/data/pl/plc0290>`_ ,  `plc0516 <https://paneldata.org/soep-long/data/pl/plc0516>`_ , `plc0517 <https://paneldata.org/soep-long/data/pl/plc0517>`_"
,Transfer payments,21,`plj0131 <https://paneldata.org/soep-long/data/pl/plj0131>`_ - `plj0151 <https://paneldata.org/soep-long/data/pl/plj0151>`_
**Time Use and Environmental Behaviour**,,,
,Calendar,12,"`pab0001 <https://paneldata.org/soep-long/data/pl2/pab0001>`_- `pab0008 <https://paneldata.org/soep-long/data/pl2/pab0008>`_, `pab010 <https://paneldata.org/soep-long/data/pl2/pab0010>`_- `pab0013 <https://paneldata.org/soep-long/data/pl2/pab0013>`_"
,Use of time,60,`pli0001 <https://paneldata.org/soep-long/data/pl/pli0001>`_-  `pli0060 <https://paneldata.org/soep-long/data/pl/pli0060>`_
"**Work and Employment / Income, Taxes and Social Security** ",,,
,Secondary occupations,9,"`plb0392 <https://paneldata.org/soep-long/data/pl/plb0392>`_ - `plb0396 <https://paneldata.org/soep-long/data/pl/plb0396>`_ ,  `plb0573 <https://paneldata.org/soep-long/data/pl/plb0573>`_ ,  `plc0062 <https://paneldata.org/soep-long/data/pl/plc0062>`_ ,  `p_isco88n <https://paneldata.org/soep-long/data/pl2/p_isco88n>`_ , `p_isco08n <https://paneldata.org/soep-long/data/pl2/p_isco08n>`_"
,Income,62,"`plc0015 <https://paneldata.org/soep-long/data/pl/plc0015>`_ -  `plc0017 <https://paneldata.org/soep-long/data/pl/plc0017>`_  ,  `plc0064 <https://paneldata.org/soep-long/data/pl/plc0064>`_ ,   `plc0065 <https://paneldata.org/soep-long/data/pl/plc0065>`_ ,  `plc0073 <https://paneldata.org/soep-long/data/pl/plc0073>`_ - `plc0075 <https://paneldata.org/soep-long/data/pl/plc0075>`_ ,  `plc0116 <https://paneldata.org/soep-long/data/pl/plc0116>`_ ,  `plc0117 <https://paneldata.org/soep-long/data/pl/plc0117>`_ ,  `plc0126 <https://paneldata.org/soep-long/data/pl/plc0126>`_ , `plc0130 <https://paneldata.org/soep-long/data/pl/plc0130>`_ - `plc0132 <https://paneldata.org/soep-long/data/pl/plc0132>`_ , `plc0135 <https://paneldata.org/soep-long/data/pl/plc0135>`_ -  `plc0139 <https://paneldata.org/soep-long/data/pl/plc0139>`_ , `plc0152 <https://paneldata.org/soep-long/data/pl/plc0152>`_ - `plc0155 <https://paneldata.org/soep-long/data/pl/plc0155>`_ , `plc0168 <https://paneldata.org/soep-long/data/pl/plc0168>`_ - `plc0171 <https://paneldata.org/soep-long/data/pl/plc0171>`_ ,  `plc0177 <https://paneldata.org/soep-long/data/pl/plc0177>`_ ,  `plc0178 <https://paneldata.org/soep-long/data/pl/plc0178>`_ ,  `plc0181 <https://paneldata.org/soep-long/data/pl/plc0181>`_ - `plc0184 <https://paneldata.org/soep-long/data/pl/plc0184>`_ , `plc0188 <https://paneldata.org/soep-long/data/pl/plc0188>`_ -  `plc0190 <https://paneldata.org/soep-long/data/pl/plc0190>`_ ,  `plc0198 <https://paneldata.org/soep-long/data/pl/plc0198>`_ , `plc0202 <https://paneldata.org/soep-long/data/pl/plc0202>`_ - `plc0205 <https://paneldata.org/soep-long/data/pl/plc0205>`_ , `plc0232 <https://paneldata.org/soep-long/data/pl/plc0232>`_ -  `plc0235 <https://paneldata.org/soep-long/data/pl/plc0235>`_ , `plc0273 <https://paneldata.org/soep-long/data/pl/plc0273>`_  - `plc0276 <https://paneldata.org/soep-long/data/pl/plc0276>`_ ,  `plc0488 <https://paneldata.org/soep-long/data/pl/plc0488>`_ - `plc0490 <https://paneldata.org/soep-long/data/pl/plc0490>`_ ,  `plc0494 <https://paneldata.org/soep-long/data/pl/plc0494>`_ - `plc0496 <https://paneldata.org/soep-long/data/pl/plc0496>`_ ,  `plc0513 <https://paneldata.org/soep-long/data/pl/plc0513>`_ , `plc0514 <https://paneldata.org/soep-long/data/pl/plc0514>`_, `plc0515 <https://paneldata.org/soep-long/data/pl/plc0515>`_ , `plb0471 <https://paneldata.org/soep-long/data/pl/plb0471>`_ , `plb0474 <https://paneldata.org/soep-long/data/pl/plb0474>`_,  `plb0477 <https://paneldata.org/soep-long/data/pl/plb0477>`_ "
**Work and Employment**,,,
,"Work, last 7 days",1,`plb0018 <https://paneldata.org/soep-long/data/pl/plb0018>`_
,Maternity/ Parental leave,1,"`plb0019 <https://paneldata.org/soep-long/data/pl/plb0019>`_ , `plb0020 <https://paneldata.org/soep-long/data/pl/plb0020>`_"
,Care period (Pflegezeit),1,`plb0020 <https://paneldata.org/soep-long/data/pl/plb0020>`_
,Registered unemployed,1,`plb0021 <https://paneldata.org/soep-long/data/pl/plb0021>`_
,Quitting a profession,4,"`plb0282 <https://paneldata.org/soep-long/data/pl/plb0282>`_ ,  `plb0298 <https://paneldata.org/soep-long/data/pl/plb0298>`_-  `plb0305 <https://paneldata.org/soep-long/data/pl/plb0305>`_ ,  `plc0040 <https://paneldata.org/soep-long/data/pl/plc0040>`_, `plc0041 <https://paneldata.org/soep-long/data/pl/plc0041>`_"
,Employment status,1,`plb0022 <https://paneldata.org/soep-long/data/pl/plb0022>`_
,Start of the job,9,"`plb0417 <https://paneldata.org/soep-long/data/pl/plb0417>`_ - `plb0424 <https://paneldata.org/soep-long/data/pl/plb0424>`_ ,  `plb0240 <https://paneldata.org/soep-long/data/pl/plb0240>`_"
,Change of job,9,"`plb0031 <https://paneldata.org/soep-long/data/pl/plb0031>`_ - `plb0034 <https://paneldata.org/soep-long/data/pl/plb0034>`_ , `plb0478 <https://paneldata.org/soep-long/data/pl/plb0478>`_- `plb0480 <https://paneldata.org/soep-long/data/pl/plb0480>`_ , `plb0284 <https://paneldata.org/soep-long/data/pl/plb0284>`_ , `plb0295 <https://paneldata.org/soep-long/data/pl/plb0295>`_"
,Job search,2,"`plb0362 <https://paneldata.org/soep-long/data/pl/plb0362>`_ , `plb0358 <https://paneldata.org/soep-long/data/pl/plb0358>`_"
,Practised profession,4,"`plb0072 <https://paneldata.org/soep-long/data/pl/plb0072>`_ , `plb0073 <https://paneldata.org/soep-long/data/pl/plb0073>`_ ,  `p_nace <https://paneldata.org/soep-long/data/pl2/p_nace>`_ , `p_isco08 <https://paneldata.org/soep-long/data/pl2/p_isco08>`_"
,Current employment,13,"`plb0035 <https://paneldata.org/soep-long/data/pl/plb0035>`_ - `plb0037 <https://paneldata.org/soep-long/data/pl/plb0037>`_ ,  `plb0040 <https://paneldata.org/soep-long/data/pl/plb0040>`_ ,  `plb0041 <https://paneldata.org/soep-long/data/pl/plb0041>`_ ,  `plb0049 <https://paneldata.org/soep-long/data/pl/plb0049>`_ ,  `plb0058 <https://paneldata.org/soep-long/data/pl/plb0058>`_ ,  `plb0063 <https://paneldata.org/soep-long/data/pl/plb0063>`_- `plb0065 <https://paneldata.org/soep-long/data/pl/plb0065>`_ ,  `plb0568 <https://paneldata.org/soep-long/data/pl/plb0568>`_ ,  `plb0570 <https://paneldata.org/soep-long/data/pl/plb0570>`_ ,  `plb0586 <https://paneldata.org/soep-long/data/pl/plb0586>`_"
,Working hours,10,"`plb0180 <https://paneldata.org/soep-long/data/pl/plb0180>`_ - `plb0182 <https://paneldata.org/soep-long/data/pl/plb0182>`_,  `plb0185 <https://paneldata.org/soep-long/data/pl/plb0185>`_ -  `plb0188 <https://paneldata.org/soep-long/data/pl/plb0188>`_ ,  `plb0241 <https://paneldata.org/soep-long/data/pl/plb0241>`_ , `plb0209 <https://paneldata.org/soep-long/data/pl/plb0209>`_ ,  `plb0210 <https://paneldata.org/soep-long/data/pl/plb0210>`_"
,Overtime,10,"`plb0193 <https://paneldata.org/soep-long/data/pl/plb0193>`_ - `plb0198 <https://paneldata.org/soep-long/data/pl/plb0198>`_ , `plb0483 <https://paneldata.org/soep-long/data/pl/plb0483>`_ , `plb0484 <https://paneldata.org/soep-long/data/pl/plb0484>`_ , `plb0220 <https://paneldata.org/soep-long/data/pl/plb0220>`_ , `plb0605 <https://paneldata.org/soep-long/data/pl/plb0198>`_"
